rule_id,category,pattern,match_type,weight,audience_modifier,note,source_tag
TONE_CONVERSATIONAL,audience_fit,hey|hi|psst|quick question,word_any,2.5,b2c:+1.5;b2b:-2.0;regulatory:-4.0,Conversational tone wins for B2C; flagged unprofessional in B2B/regulatory,nielsen_norman_tone
SOCIAL_PROOF,curiosity_triggers,"join \d+|over \d+|\d+\+ customers|trusted by|loved by",regex,2.5,acquisition:+1.5,Social proof strongest for acquisition where prospect lacks experience with brand,cialdini_influence
BENEFIT_OUTCOME,value_signals,save|earn|grow|improve|boost|cut|reduce|double,word_any,2.0,b2b:+1.5,Outcome verbs strongest in B2B where ROI framing matters,b2b_subject_line_study
QUESTION_LEADING,curiosity_triggers,ready to|want to|looking for,phrase_any,2.0,acquisition:+1.0,Soft question framing well-suited to acquisition,himalmedia_questions
NEGATIVE_FRAMING,style,don't|stop|avoid|never|won't,word_any,2.5,b2b:+1.5,Negative framing creates curiosity; particularly potent in B2B,buzzfeed_headline_study
TIME_REFERENCE_DAY,style,today|tomorrow|tonight|this week|this weekend,phrase_any,1.5,acquisition:+0.5;regulatory:-2.0,Time references mildly positive; inappropriate when no time pressure exists,return_path_2022
NUMBER_SPECIFIC,curiosity_triggers,"\b\d{1,3}\b",regex,1.0,b2b:+0.5,Specific numbers feel concrete; mild universal lift,buzzfeed_headline_study
BRACKET_LABEL,style,"^\[[^\]]+\]",regex,1.5,b2b:+2.0;regulatory:+2.5,Bracket-prefixed labels read as professional B2B/compliance,b2b_subject_line_study
BRAND_VOICE_MISMATCH_PUSHY,brand_voice,buy now|don't miss out|act fast,phrase_any,-3.0,understated:-3.0;warm:-3.0,Pushy phrases conflict with understated/warm brand voices,nielsen_norman_tone
AUDIENCE_PRICE_SENSITIVE_DEAL,audience_fit,deal|save|discount|markdown|clearance,word_any,2.0,price_conscious:+3.0;premium:-3.0,Discount language polarizes by audience price-sensitivity,kissmetrics_offers
AUDIENCE_PREMIUM_LANGUAGE,audience_fit,curated|crafted|select|premium|signature,word_any,2.0,premium:+3.5;price_conscious:-1.5,Premium language polarizes by audience price-sensitivity,kissmetrics_offers
PRONOUN_YOU,personalization,"\byou\b|\byour\b",regex,1.5,,Direct address mild universal lift,himalmedia_questions
SCARCITY_LIMITED,urgency,limited time|only today|while supplies,phrase_any,2.0,acquisition:+1.0;retention:-1.5;regulatory:-4.0,Scarcity boosts acquisition; depresses retention; inappropriate for compliance,cialdini_influence
NAME_DROP_BRAND,style,"from [A-Z][a-z]+|brought to you by",regex,1.0,b2b:+1.0,Mild lift when brand recognition is strong,b2b_subject_line_study
QUESTION_CLOSED_YES_NO,curiosity_triggers,^(do you|are you|did you|have you),regex,2.0,b2c:+0.5,Yes/no question openers strong B2C performers,himalmedia_questions
CASUAL_CONTRACTION,style,don't|won't|can't|you're|we're|it's,word_any,1.0,b2c:+0.5;b2b:-0.5,Contractions read as conversational; mild positive for B2C,nielsen_norman_tone
